,users,repos,user_links,Stars
0,dotnet,AspNetCore.Docs,https://github.com/dotnet,11k
1,bitwarden,server,https://github.com/bitwarden,10.8k
2,aspnetboilerplate,aspnetboilerplate,https://github.com/aspnetboilerplate,10.7k
3,abpframework,abp,https://github.com/abpframework,8.8k
4,nopSolutions,nopCommerce,https://github.com/nopSolutions,7.6k
5,ElectronNET,Electron.NET,https://github.com/ElectronNET,6.5k
6,thangchung,clean-code-dotnet,https://github.com/thangchung,5.5k
7,RicoSuter,NSwag,https://github.com/RicoSuter,5.5k
8,smartstore,SmartStoreNET,https://github.com/smartstore,2.5k
9,JimBobSquarePants,ImageProcessor,https://github.com/JimBobSquarePants,2.5k
10,dotnet,aspnet-api-versioning,https://github.com/dotnet,2.4k
11,serenity-is,Serenity,https://github.com/serenity-is,2.3k
12,loic-sharma,BaGet,https://github.com/loic-sharma,2.2k
13,mjebrahimi,Awesome-Microservices-DotNet,https://github.com/mjebrahimi,2k
14,TrilonIO,aspnetcore-angular-universal,https://github.com/TrilonIO,1.5k
15,TrilonIO,aspnetcore-Vue-starter,https://github.com/TrilonIO,1.2k
16,MarimerLLC,csla,https://github.com/MarimerLLC,1.1k
17,antonioCoco,SharPyShell,https://github.com/antonioCoco,706
18,riganti,dotvvm,https://github.com/riganti,632
19,cornflourblue,aspnet-core-3-jwt-authentication-api,https://github.com/cornflourblue,624
